,,SMILES,logS(mol/kg),T(?),T(K),Water density (g/cm^3),,
902,sample_903,C=C(C)C(=O)O,0.01,25,298.15,0.997,,
903,sample_904,CCCCO,0.00,25,298.15,0.997,,
904,sample_905,NC(=O)CCl,-0.02,25,298.15,0.997,,
905,sample_906,CCOC(C)=O,-0.04,25,298.15,0.997,,
906,sample_907,COC(C)C,-0.06,25,298.15,0.997,,
907,sample_908,OC(CCl)CCl,-0.11,25,298.15,0.997,,
908,sample_909,CCC(=O)OC,-0.14,25,298.15,0.997,,
909,sample_910,Oc1ccc(O)cc1,-0.17,25,298.15,0.997,,
910,sample_911,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,25,298.15,0.997,,
911,sample_912,COC(C)(C)C,-0.24,25,298.15,0.997,,
912,sample_913,NC(=O)OCc1ccccc1,-0.35,25,298.15,0.997,,
913,sample_914,Nc1nccs1,-0.36,25,298.15,0.997,,
914,sample_915,O=C1CNC(=O)N1,-0.40,25,298.15,0.997,,
915,sample_916,O=C1NC(=O)C(=O)N1,-0.40,25,298.15,0.997,,
916,sample_917,CC(C)(C)CO,-0.40,25,298.15,0.997,,
917,sample_918,Nc1ccc(C(=O)O)cc1,-0.40,25,298.15,0.997,,
918,sample_919,Nc1ccccc1,-0.41,25,298.15,0.997,,
919,sample_920,CC(C)C(C)(C)O,-0.41,25,298.15,0.997,,
920,sample_921,CCCCOCCO,-0.42,25,298.15,0.997,,
921,sample_922,CCOC(C)OCC,-0.43,25,298.15,0.997,,
922,sample_923,O=C(O)CCI,-0.43,25,298.15,0.997,,
923,sample_924,CCCNCCC,-0.46,25,298.15,0.997,,
924,sample_925,CCC(C)CO,-0.47,25,298.15,0.997,,
925,sample_926,O=C(O)c1ccco1,-0.48,25,298.15,0.997,,
926,sample_927,CCCC(C)(C)O,-0.49,25,298.15,0.997,,
927,sample_928,CC(C)CCO,-0.52,25,298.15,0.997,,
928,sample_929,CC(=O)OC(C)C,-0.55,25,298.15,0.997,,
929,sample_930,CCOC(C)C,-0.55,25,298.15,0.997,,
930,sample_931,CCS,-0.60,25,298.15,0.997,,
931,sample_932,CCCCCO,-0.60,25,298.15,0.997,,
932,sample_933,CC(C)[N+](=O)[O-],-0.62,25,298.15,0.997,,
933,sample_934,Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.62,25,298.15,0.997,,
934,sample_935,Cc1ccccc1O,-0.62,25,298.15,0.997,,
935,sample_936,S=C1NCCN1,-0.71,25,298.15,0.997,,
936,sample_937,OCCc1ccccc1,-0.74,25,298.15,0.997,,
937,sample_938,CCC[N+](=O)[O-],-0.80,25,298.15,0.997,,
938,sample_939,CC(C)CC(C)O,-0.80,25,298.15,0.997,,
939,sample_940,CCCCC(C)=O,-0.80,25,298.15,0.997,,
940,sample_941,CCC(CC)C(=O)O,-0.81,25,298.15,0.997,,
941,sample_942,O=C(O)CCCCC(=O)O,-0.82,25,298.15,0.997,,
942,sample_943,O=C1CNC(=O)CN1,-0.83,25,298.15,0.997,,
943,sample_944,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85,25,298.15,0.997,,
944,sample_945,Cc1ccccc1N,-0.85,25,298.15,0.997,,
945,sample_946,CCC(C)(O)C(C)C,-0.85,25,298.15,0.997,,
946,sample_947,CCC(C)C(C)(C)O,-0.89,25,298.15,0.997,,
947,sample_948,CCCCC(C)O,-0.89,25,298.15,0.997,,
948,sample_949,NC(=O)c1cnccn1,-0.91,25,298.15,0.997,,
949,sample_950,O=C(O)C(CO)c1ccccc1,-0.93,25,298.15,0.997,,
950,sample_951,CC1CCCCC1=O,-0.94,25,298.15,0.997,,
951,sample_952,NC(=O)NCc1ccccc1,-0.95,25,298.15,0.997,,
952,sample_953,CC(=O)N(C)c1ccccc1,-0.95,25,298.15,0.997,,
953,sample_954,CCN(N=O)C(N)=O,-0.96,25,298.15,0.997,,
954,sample_955,N#Cc1ccccc1,-1.00,25,298.15,0.997,,
955,sample_956,O=[N+]([O-])c1cccc(O)c1,-1.01,25,298.15,0.997,,
956,sample_957,CCC(C)(C)CO,-1.04,25,298.15,0.997,,
957,sample_958,ClCCCl,-1.06,25,298.15,0.997,,
958,sample_959,CC1=CC(=O)CC(C)(C)C1,-1.06,25,298.15,0.997,,
959,sample_960,Oc1ccccc1Cl,-1.06,25,298.15,0.997,,
960,sample_961,CCCCCC(=O)O,-1.06,25,298.15,0.997,,
961,sample_962,CCCCCCN,-1.10,25,298.15,0.997,,
962,sample_963,CCCC(C)CO,-1.11,25,298.15,0.997,,
963,sample_964,ClCCOCCCl,-1.12,25,298.15,0.997,,
964,sample_965,CCC(O)C(C)(C)C,-1.15,25,298.15,0.997,,
965,sample_966,O=C(O)c1cc(O)c(O)c(O)c1,-1.16,25,298.15,0.997,,
966,sample_967,BrCBr,-1.17,25,298.15,0.997,,
967,sample_968,Cc1cc(O)c2ccccc2n1,-1.20,25,298.15,0.997,,
968,sample_969,Cc1ccc(N)cc1,-1.21,25,298.15,0.997,,
969,sample_970,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,25,298.15,0.997,,
970,sample_971,COC(=O)c1cc(O)c(O)c(O)c1,-1.24,25,298.15,0.997,,
971,sample_972,Cc1ncc([N+](=O)[O-])n1CCO,-1.26,25,298.15,0.997,,
972,sample_973,Cc1cc(=O)[nH]c(=O)[nH]1,-1.26,25,298.15,0.997,,
973,sample_974,Cc1cc(N)nc(C)n1,-1.28,25,298.15,0.997,,
974,sample_975,CNc1ccccc1,-1.28,25,298.15,0.997,,
975,sample_976,CCCC(=O)CCC,-1.30,25,298.15,0.997,,
976,sample_977,ClC=CCl,-1.30,25,298.15,0.997,,
977,sample_978,Cc1cccc(C)c1O,-1.31,25,298.15,0.997,,
978,sample_979,BrC=CBr,-1.32,25,298.15,0.997,,
979,sample_980,CCCOC(C)C,-1.34,25,298.15,0.997,,
980,sample_981,CNC(=NC#N)NCCSCc1nc[nH]c1C,-1.35,25,298.15,0.997,,
981,sample_982,C=CCCl,-1.36,25,298.15,0.997,,
982,sample_983,Nc1ccc(S(N)(=O)=O)cc1,-1.36,25,298.15,0.997,,
983,sample_984,O=C1OC(=O)c2ccccc21,-1.39,25,298.15,0.997,,
984,sample_985,Cc1ccc(O)cc1C,-1.41,25,298.15,0.997,,
985,sample_986,CC(C)Cl,-1.41,25,298.15,0.997,,
986,sample_987,O=C(O)c1ccc(O)cc1,-1.41,25,298.15,0.997,,
987,sample_988,CC1(C(=O)O)CCC(C(=O)O)C1(C)C,-1.42,25,298.15,0.997,,
988,sample_989,CN(C)C1C(O)=C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.42,25,298.15,0.997,,
989,sample_990,CC(=O)CC(C)C,-1.42,25,298.15,0.997,,
990,sample_991,O=C(O)C1CCCCC1,-1.45,25,298.15,0.997,,
991,sample_992,CCNC(=S)NCC,-1.46,25,298.15,0.997,,
992,sample_993,CCCCCOC(N)=O,-1.47,25,298.15,0.997,,
993,sample_994,Nc1cccc(C(F)(F)F)c1,-1.47,25,298.15,0.997,,
994,sample_995,CCCCC(O)CC,-1.47,25,298.15,0.997,,
995,sample_996,O=c1cc[nH]c(=O)[nH]1,-1.48,25,298.15,0.997,,
996,sample_997,C=CCBr,-1.50,25,298.15,0.997,,
997,sample_998,c1ccc2scnc2c1,-1.50,25,298.15,0.997,,
998,sample_999,CCCC1CCCCN1,-1.50,25,298.15,0.997,,
999,sample_1000,Nc1ccccc1Cl,-1.52,25,298.15,0.997,,
1000,sample_1001,Cc1c[nH]c(=O)[nH]c1=O,-1.52,25,298.15,0.997,,
1001,sample_1002,ClC(Cl)Br,-1.54,25,298.15,0.997,,
1002,sample_1003,NS(=O)(=O)c1ccccc1,-1.56,25,298.15,0.997,,
1003,sample_1004,CC(C)Br,-1.59,25,298.15,0.997,,
1004,sample_1005,NC(=O)NC1NC(=O)NC1=O,-1.60,25,298.15,0.997,,
1005,sample_1006,CCI,-1.60,25,298.15,0.997,,
1006,sample_1007,CCCCC(C)(O)CC,-1.60,25,298.15,0.997,,
1007,sample_1008,NC(Cc1ccc(O)c(O)c1)C(=O)O,-1.60,25,298.15,0.997,,
1008,sample_1009,CC(=O)c1ccc(N)cc1,-1.61,25,298.15,0.997,,
1009,sample_1010,CC(=O)CC(=O)C(C)(C)C,-1.63,25,298.15,0.997,,
1010,sample_1011,C#CCCC,-1.64,25,298.15,0.997,,
1011,sample_1012,COC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.66,25,298.15,0.997,,
1012,sample_1013,COC(=O)c1ccccc1C(=O)OC,-1.66,25,298.15,0.997,,
1013,sample_1014,O=C(O)CNC(=O)c1ccccc1,-1.68,25,298.15,0.997,,
1014,sample_1015,CCCCC(CC)CN,-1.71,25,298.15,0.997,,
1015,sample_1016,CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83,25,298.15,0.997,,
1016,sample_1017,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84,25,298.15,0.997,,
1017,sample_1018,CCCCCCCN,-1.85,25,298.15,0.997,,
1018,sample_1019,COC(=O)c1ccccc1,-1.85,25,298.15,0.997,,
1019,sample_1020,CC12CCC(C1)C(C)(C)C2=O,-1.85,25,298.15,0.997,,
1020,sample_1021,ClCCCBr,-1.85,25,298.15,0.997,,
1021,sample_1022,C=CC=C,-1.87,25,298.15,0.997,,
1022,sample_1023,O=c1ccc2ccccc2o1,-1.89,25,298.15,0.997,,
1023,sample_1024,O=C(O)c1ccccc1Cl,-1.89,25,298.15,0.997,,
1024,sample_1025,CC(=O)Nc1ccccc1[N+](=O)[O-],-1.91,25,298.15,0.997,,
1025,sample_1026,ClCC(Cl)CCl,-1.92,25,298.15,0.997,,
1026,sample_1027,Nc1cccc2ccccc12,-1.92,25,298.15,0.997,,
1027,sample_1028,Cc1cc(C)c2ccccc2n1,-1.94,25,298.15,0.997,,
1028,sample_1029,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,25,298.15,0.997,,
1029,sample_1030,Cc1nc2ccccc2[nH]1,-1.96,25,298.15,0.997,,
1030,sample_1031,COc1ccccc1O,-1.96,25,298.15,0.997,,
1031,sample_1032,ClC=C(Cl)Cl,-1.96,25,298.15,0.997,,
1032,sample_1033,Fc1ccc(F)cc1,-1.97,25,298.15,0.997,,
1033,sample_1034,C=CC(C)(O)CCC=C(C)C,-1.99,25,298.15,0.997,,
1034,sample_1035,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99,25,298.15,0.997,,
1035,sample_1036,CC12CCC(CC1=O)C2(C)C,-1.99,25,298.15,0.997,,
1036,sample_1037,CCCCCC(=O)OC,-2.00,25,298.15,0.997,,
1037,sample_1038,CC(C)CCl,-2.00,25,298.15,0.997,,
1038,sample_1039,Fc1cccc(F)c1,-2.00,25,298.15,0.997,,
1039,sample_1040,C=CC(=C)C,-2.03,25,298.15,0.997,,
1040,sample_1041,COc1cc(C(=O)O)ccc1O,-2.05,25,298.15,0.997,,
1041,sample_1042,CC(C)=CCCC(C)=CC=O,-2.06,25,298.15,0.997,,
1042,sample_1043,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.06,25,298.15,0.997,,
1043,sample_1044,Cc1cccc2sc3nncn3c12,-2.07,25,298.15,0.997,,
1044,sample_1045,BrCCCBr,-2.08,25,298.15,0.997,,
1045,sample_1046,CNC(=O)ON=C1C(Cl)C2CC(C#N)C1C2,-2.08,25,298.15,0.997,,
1046,sample_1047,CCSCc1ccccc1OC(=O)NC,-2.09,25,298.15,0.997,,
1047,sample_1048,COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,-2.10,25,298.15,0.997,,
1048,sample_1049,C1=CCCC1,-2.10,25,298.15,0.997,,
1049,sample_1050,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.11,25,298.15,0.997,,
1050,sample_1051,CCCc1cc(=O)[nH]c(=S)[nH]1,-2.15,25,298.15,0.997,,
1051,sample_1052,CC(Br)CBr,-2.15,25,298.15,0.997,,
1052,sample_1053,c1ccc2[nH]ncc2c1,-2.16,25,298.15,0.997,,
1053,sample_1054,C=C(C)C1CCC(C)C(=O)C1,-2.18,25,298.15,0.997,,
1054,sample_1055,CCCCS,-2.18,25,298.15,0.997,,
1055,sample_1056,Oc1cc(Cl)c(Cl)cc1Cl,-2.21,25,298.15,0.997,,
1056,sample_1057,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99,25,298.15,0.997,,
1057,sample_1058,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-2.23,25,298.15,0.997,,
1058,sample_1059,O=C(NC(=O)c1ccccc1)c1ccccc1,-2.27,25,298.15,0.997,,
1059,sample_1060,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.27,25,298.15,0.997,,
1060,sample_1061,CCCN(CCC)CCC,-2.28,25,298.15,0.997,,
1061,sample_1062,O=C(O)c1ccccc1-c1ccccc1C(=O)O,-2.28,25,298.15,0.997,,
1062,sample_1063,O=C(O)COc1ccc(Cl)cc1,-2.29,25,298.15,0.997,,
1063,sample_1064,O=c1[nH]cnc2nc[nH]c12,-2.29,25,298.15,0.997,,
1064,sample_1065,BrC1CCCCC1,-2.30,25,298.15,0.997,,
1065,sample_1066,Nc1ccc(Cc2ccc(N)cc2)cc1,-2.30,25,298.15,0.997,,
1066,sample_1067,CCCCCC(=O)OCC,-2.31,25,298.15,0.997,,
1067,sample_1068,Cc1ccccc1[N+](=O)[O-],-2.33,25,298.15,0.997,,
1068,sample_1069,CCOc1ccccc1,-2.33,25,298.15,0.997,,
1069,sample_1070,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,25,298.15,0.997,,
1070,sample_1071,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,25,298.15,0.997,,
1071,sample_1072,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.36,25,298.15,0.997,,
1072,sample_1073,Nc1ccc([N+](=O)[O-])cc1,-2.37,25,298.15,0.997,,
1073,sample_1074,Fc1cc(F)c(F)cc1F,-2.38,25,298.15,0.997,,
1074,sample_1075,Cc1ccsc1,-2.39,25,298.15,0.997,,
1075,sample_1076,CCCCCCCCO,-2.39,25,298.15,0.997,,
1076,sample_1077,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-2.40,25,298.15,0.997,,
1077,sample_1078,CC(C)(C)c1ccc(O)cc1,-2.41,25,298.15,0.997,,
1078,sample_1079,Oc1cccc2cccnc12,-2.42,25,298.15,0.997,,
1079,sample_1080,CCCCCCOC(C)=O,-2.46,25,298.15,0.997,,
1080,sample_1081,CC1CCC(C(C)C)C(=O)C1,-2.49,25,298.15,0.997,,
1081,sample_1082,Cc1ccc([N+](=O)[O-])cc1,-2.49,25,298.15,0.997,,
1082,sample_1083,CCC(C)(C)Cl,-2.51,25,298.15,0.997,,
1083,sample_1084,OC(Cc1ccccc1)c1ccccc1,-2.52,25,298.15,0.997,,
1084,sample_1085,CC1CCC(C(C)C)C(O)C1,-2.53,25,298.15,0.997,,
1085,sample_1086,ClC(Cl)=C(Cl)Cl,-2.54,25,298.15,0.997,,
1086,sample_1087,Brc1ccccc1,-2.55,25,298.15,0.997,,
1087,sample_1088,OC(c1ccccc1)c1ccccc1,-2.55,25,298.15,0.997,,
1088,sample_1089,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,25,298.15,0.997,,
1089,sample_1090,CCC(N)Cc1c[nH]c2ccccc12,-2.57,25,298.15,0.997,,
1090,sample_1091,NC(Cc1ccc(O)cc1)C(=O)O,-2.57,25,298.15,0.997,,
1091,sample_1092,CCCCCCc1ccc(O)cc1O,-2.59,25,298.15,0.997,,
1092,sample_1093,CCCCC(=O)CCCC,-2.59,25,298.15,0.997,,
1093,sample_1094,CC1(C)C(=O)N(Cl)C(=O)N1Cl,-2.60,25,298.15,0.997,,
1094,sample_1095,Cc1ccc(C(=O)O)cc1,-2.60,25,298.15,0.997,,
1095,sample_1096,O=C1NC(=O)c2ccccc21,-2.61,25,298.15,0.997,,
1096,sample_1097,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-2.63,25,298.15,0.997,,
1097,sample_1098,CCC(Cl)CC,-2.63,25,298.15,0.997,,
1098,sample_1099,CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O,-2.64,25,298.15,0.997,,
1099,sample_1100,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,25,298.15,0.997,,
1100,sample_1101,CCCOC(=O)c1ccccc1,-2.67,25,298.15,0.997,,
1101,sample_1102,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68,25,298.15,0.997,,
1102,sample_1103,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,25,298.15,0.997,,
1103,sample_1104,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.70,25,298.15,0.997,,
1104,sample_1105,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,-2.70,25,298.15,0.997,,
1105,sample_1106,S=c1cnc2cncnc2[nH]1,-2.71,25,298.15,0.997,,
1106,sample_1107,CCCCCCCCN,-2.75,25,298.15,0.997,,
1107,sample_1108,CCc1ccccc1,-2.77,25,298.15,0.997,,
1108,sample_1109,Cc1ccc(C)cc1,-2.77,25,298.15,0.997,,
1109,sample_1110,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,-2.78,25,298.15,0.997,,
1110,sample_1111,Ic1ccccc1,-2.78,25,298.15,0.997,,
1111,sample_1112,O=C(O)c1ccc([N+](=O)[O-])cc1,-2.80,25,298.15,0.997,,
1112,sample_1113,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.82,25,298.15,0.997,,
1113,sample_1114,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,-2.82,25,298.15,0.997,,
1114,sample_1115,C=Cc1ccccc1,-2.82,25,298.15,0.997,,
1115,sample_1116,O=C(c1ccccc1)C(O)c1ccccc1,-2.85,25,298.15,0.997,,
1116,sample_1117,Cc1cc(Cl)ccc1N=CN(C)C,-2.86,25,298.15,0.997,,
1117,sample_1118,CNc1ccccc1C(=O)O,-2.88,25,298.15,0.997,,
1118,sample_1119,c1ccc(NNc2ccccc2)cc1,-2.92,25,298.15,0.997,,
1119,sample_1120,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,-2.96,25,298.15,0.997,,
1120,sample_1121,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-2.97,25,298.15,0.997,,
1121,sample_1122,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-2.98,25,298.15,0.997,,
1122,sample_1123,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,-2.99,25,298.15,0.997,,
1123,sample_1124,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-3.03,25,298.15,0.997,,
1124,sample_1125,CC1=CC(=O)c2ccccc2C1=O,-3.03,25,298.15,0.997,,
1125,sample_1126,FC(F)(Cl)C(F)(Cl)Cl,-3.04,25,298.15,0.997,,
1126,sample_1127,Clc1cccc(Cl)c1,-3.04,25,298.15,0.997,,
1127,sample_1128,c1ccc2c(c1)CCC2,-3.04,25,298.15,0.997,,
1128,sample_1129,CC(=O)Nc1ccc(Br)cc1,-3.08,25,298.15,0.997,,
1129,sample_1130,Cc1ccc(Cl)cc1,-3.08,25,298.15,0.997,,
1130,sample_1131,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,-3.08,25,298.15,0.997,,
1131,sample_1132,C1CCCCC1,-3.10,25,298.15,0.997,,
1132,sample_1133,O=C(c1ccccc1)c1ccccc1,-3.12,25,298.15,0.997,,
1133,sample_1134,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.12,25,298.15,0.997,,
1134,sample_1135,CC(C)CCOC(=O)c1ccccc1O,-3.16,25,298.15,0.997,,
1135,sample_1136,CCCCCCCCC=O,-3.17,25,298.15,0.997,,
1136,sample_1137,Cc1ccc(Br)cc1,-3.19,25,298.15,0.997,,
1137,sample_1138,Clc1ccccc1Br,-3.19,25,298.15,0.997,,
1138,sample_1139,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,-3.21,25,298.15,0.997,,
1139,sample_1140,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.21,25,298.15,0.997,,
1140,sample_1141,O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.22,25,298.15,0.997,,
1141,sample_1142,C=CCC(C)C,-3.24,25,298.15,0.997,,
1142,sample_1143,Clc1ccc(Cl)cc1,-3.27,25,298.15,0.997,,
1143,sample_1144,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27,25,298.15,0.997,,
1144,sample_1145,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,-3.28,25,298.15,0.997,,
1145,sample_1146,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29,25,298.15,0.997,,
1146,sample_1147,CCCCCCCCOC(N)=O,-3.30,25,298.15,0.997,,
1147,sample_1148,CCCCN(CC)C(=O)SCCC,-3.35,25,298.15,0.997,,
1148,sample_1149,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38,25,298.15,0.997,,
1149,sample_1150,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38,25,298.15,0.997,,
1150,sample_1151,CCCCCCCC(=O)OCC,-3.39,25,298.15,0.997,,
1151,sample_1152,CCSC(=O)N(CC)C1CCCCC1,-3.40,25,298.15,0.997,,
1152,sample_1153,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,-3.46,25,298.15,0.997,,
1153,sample_1154,Ic1[nH]c(I)c(I)c1I,-3.46,25,298.15,0.997,,
1154,sample_1155,Brc1cccc(Br)c1,-3.54,25,298.15,0.997,,
1155,sample_1156,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.54,25,298.15,0.997,,
1156,sample_1157,CCCCCCCCCCC(=O)O,-3.55,25,298.15,0.997,,
1157,sample_1158,CC12CC(O)C3C(CCC4CC(O)CCC43C)C1CCC2=O,-3.59,25,298.15,0.997,,
1158,sample_1159,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.62,25,298.15,0.997,,
1159,sample_1160,COc1c2occc2cc2ccc(=O)oc12,-3.66,25,298.15,0.997,,
1160,sample_1161,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,-3.66,25,298.15,0.997,,
1161,sample_1162,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-3.66,25,298.15,0.997,,
1162,sample_1163,CC(C)(C)c1ccccc1,-3.66,25,298.15,0.997,,
1163,sample_1164,c1ccc2nc3ccccc3cc2c1,-3.67,25,298.15,0.997,,
1164,sample_1165,CCC(C)CC,-3.68,25,298.15,0.997,,
1165,sample_1166,CCSC(=O)N(CC(C)C)CC(C)C,-3.68,25,298.15,0.997,,
1166,sample_1167,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-3.68,25,298.15,0.997,,
1167,sample_1168,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,-3.68,25,298.15,0.997,,
1168,sample_1169,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,-3.70,25,298.15,0.997,,
1169,sample_1170,Cc1cccc2ccccc12,-3.70,25,298.15,0.997,,
1170,sample_1171,CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-3.74,25,298.15,0.997,,
1171,sample_1172,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.75,25,298.15,0.997,,
1172,sample_1173,Clc1cccc(C(Cl)(Cl)Cl)n1,-3.76,25,298.15,0.997,,
1173,sample_1174,Cc1ccc(C(C)C)cc1,-3.77,25,298.15,0.997,,
1174,sample_1175,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.77,25,298.15,0.997,,
1175,sample_1176,Cc1cccc(Nc2ccccc2C(=O)O)c1C,-3.78,25,298.15,0.997,,
1176,sample_1177,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.80,25,298.15,0.997,,
1177,sample_1178,CCCCCCCCC(=O)OCC,-3.80,25,298.15,0.997,,
1178,sample_1179,CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,-3.80,25,298.15,0.997,,
1179,sample_1180,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.80,25,298.15,0.997,,
1180,sample_1181,CC=CCCCC,-3.82,25,298.15,0.997,,
1181,sample_1182,CCCCCC,-3.84,25,298.15,0.997,,
1182,sample_1183,CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13,-3.85,25,298.15,0.997,,
1183,sample_1184,CC1CCCCC1,-3.85,25,298.15,0.997,,
1184,sample_1185,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,-3.88,25,298.15,0.997,,
1185,sample_1186,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.89,25,298.15,0.997,,
1186,sample_1187,CN(C)C(=S)SSC(=S)N(C)C,-3.90,25,298.15,0.997,,
1187,sample_1188,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.90,25,298.15,0.997,,
1188,sample_1189,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21,-3.94,25,298.15,0.997,,
1189,sample_1190,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,-3.95,25,298.15,0.997,,
1190,sample_1191,c1ccc(Oc2ccccc2)cc1,-3.96,25,298.15,0.997,,
1191,sample_1192,CCCCCCCCl,-3.99,25,298.15,0.997,,
1192,sample_1193,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.99,25,298.15,0.997,,
1193,sample_1194,Cc1cc(C)c(C)c(C)c1C,-4.00,25,298.15,0.997,,
1194,sample_1195,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.00,25,298.15,0.997,,
1195,sample_1196,Clc1cccc(Cl)c1Cl,-4.00,25,298.15,0.997,,
1196,sample_1197,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,25,298.15,0.997,,
1197,sample_1198,CCCCc1ccccc1,-4.06,25,298.15,0.997,,
1198,sample_1199,Brc1ccc(Br)cc1,-4.07,25,298.15,0.997,,
1199,sample_1200,CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.10,25,298.15,0.997,,
1200,sample_1201,CCOP(=S)(OCC)SCSCC,-4.11,25,298.15,0.997,,
1201,sample_1202,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,-4.11,25,298.15,0.997,,
1202,sample_1203,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,25,298.15,0.997,,
1203,sample_1204,C1CCCCCCC1,-4.15,25,298.15,0.997,,
